"Role","Skills","shortlisting_probability","matched_skills_count","total_job_skills","skill_match_percent","cgpa","recommendation","fit_label","fit_score","resume_quality_score","market_value_score"
"Backend Developer","Flask, Transformers, Python, TypeScript, FastAPI, Rust, Scikit-Learn, MongoDB",0.9,6,8,75.0,6.93,"Yes","No Fit",6.83,8.48,81.06
"MLOps Engineer","Scikit-Learn, PostgreSQL, Docker, Excel, Vue.js, TensorFlow, C++, Bootstrap, Power BI",0.9,2,9,22.22,6.84,"Yes","No Fit",5.04,7.31,61.99
"AI Research Assistant","Rust, OpenCV, C++, MongoDB, Docker, Tailwind CSS, Git, Flask, Power BI",0.66,3,9,33.33,6.01,"No","No Fit",5.07,8.1,98.73
"DevOps Engineer","Docker, Bootstrap, Power BI, Scikit-Learn, LLMs, Excel, Transformers, React, MongoDB, Vue.js, OpenCV",0.47,2,11,18.18,8.55,"No","Fit",9.4,7.36,54.47
"Full Stack Developer","PyTorch, Docker, Node.js, Flask, TensorFlow",0.4,1,5,20.0,6.93,"Yes","No Fit",5.8,8.6,59.88
"AI Research Assistant","Vue.js, PostgreSQL, Transformers, Docker, LLMs, Node.js, Rust, Git, Java",0.66,8,9,88.89,9.86,"No","Fit",9.05,5.29,89.3
"Frontend Architect","Git, FastAPI, Docker, LLMs, Rust, Vue.js, TypeScript, Java, C++, Transformers, Seaborn, Python",0.62,5,12,41.67,9.12,"No","No Fit",5.53,7.65,71.36
"Software Engineer","Tailwind CSS, Power BI, React, Python, Seaborn, Rust, FastAPI, OpenCV, Vue.js, LLMs, MongoDB, Docker",0.4,6,12,50.0,6.02,"Yes","Fit",9.3,5.66,66.76
"AI/ML Intern","OpenCV, Java, Excel, Node.js, Transformers, Scikit-Learn, LLMs, MongoDB, TensorFlow, Flask",0.73,2,10,20.0,7.46,"Yes","Fit",9.73,8.58,76.54
"Software Engineer","Vue.js, TypeScript, PyTorch, Seaborn, PostgreSQL, Tailwind CSS",0.45,1,6,16.67,7.6,"No","No Fit",5.11,9.85,81.61
"NLP Engineer","Rust, Tailwind CSS, TypeScript, Node.js, Docker",0.66,4,5,80.0,6.68,"Yes","No Fit",6.27,5.37,54.46
"Machine Learning Engineer","LLMs, Flask, Excel, TypeScript, TensorFlow, React, Transformers, PostgreSQL, Git, Bootstrap, PyTorch, Python",0.44,12,12,100.0,9.41,"No","No Fit",5.02,8.78,68.28
"MLOps Engineer","Tailwind CSS, Java, Power BI, LLMs, OpenCV, Rust, Flask, C++, React, TensorFlow",0.85,8,10,80.0,7.7,"No","Fit",9.08,7.36,88.16
"Data Engineer","Git, TensorFlow, Bootstrap, MongoDB, Java",0.51,3,5,60.0,7.0,"No","Fit",8.52,8.69,82.85
"Data Engineer","Docker, Bootstrap, Tailwind CSS, C++, Vue.js",0.45,4,5,80.0,9.12,"Yes","No Fit",5.32,8.67,79.7
"DevOps Engineer","Scikit-Learn, Seaborn, Git, Vue.js, Power BI",0.61,1,5,20.0,9.81,"Yes","No Fit",6.5,7.04,78.37
"Full Stack Developer","PyTorch, OpenCV, FastAPI, Git, Seaborn",0.76,1,5,20.0,7.84,"Yes","Fit",8.65,7.03,90.59
"Deep Learning Engineer","Python, TypeScript, Docker, MongoDB, FastAPI, Vue.js, Flask",0.49,3,7,42.86,9.21,"Yes","Fit",7.58,9.69,71.23
"Data Analyst","Git, TensorFlow, Flask, Bootstrap, React, LLMs, Seaborn, Python, Excel, PostgreSQL",0.51,6,10,60.0,9.06,"Yes","Fit",9.05,9.16,97.89
