"Company","Branch","Experience","Role","Skills","shortlisting_probability","matched_skills_count","total_job_skills","skill_match_percent","cgpa","recommendation","fit_label","fit_score","resume_quality_score","market_value_score"
"Infosys","Chennai",1,"Data Scientist","OpenCV, PyTorch, Git, Excel, Transformers, TensorFlow, Docker, Vue.js",0.94,1,8,12.5,7.33,"No","Fit",5.73,9.88,79.76
"Cognizant","Delhi",3,"NLP Engineer","Git, Bootstrap, Transformers, Seaborn, Vue.js",0.86,5,5,100.0,9.56,"Yes","Fit",9.38,7.38,65.47
"Capgemini","Delhi",7,"Data Analyst","TensorFlow, Seaborn, Python, Java, C++, Node.js, PyTorch, OpenCV, TypeScript",0.95,4,9,44.44,6.48,"Yes","No Fit",7.15,5.12,83.71
"IBM India","Gurgaon",2,"AI Research Assistant","Flask, Rust, Transformers, Scikit-Learn, TypeScript, PostgreSQL, PyTorch",0.97,4,7,57.14,7.85,"Yes","Fit",7.28,6.8,85.28
"IBM India","Noida",2,"Data Analyst","Docker, TypeScript, OpenCV, Tailwind CSS, PostgreSQL, Flask, React, TensorFlow, Bootstrap, LLMs",0.47,8,10,80.0,6.51,"No","Fit",9.73,8.79,57.58
"HCL Technologies","Bangalore",1,"AI Research Assistant","Vue.js, Scikit-Learn, LLMs, PyTorch, Docker, Rust, C++",0.68,4,7,57.14,8.35,"No","No Fit",6.57,9.41,96.72
"HCL Technologies","Kolkata",8,"Deep Learning Engineer","TypeScript, MongoDB, Java, LLMs, Tailwind CSS, Node.js, FastAPI, Python, Power BI, Git, Vue.js, OpenCV",0.97,10,12,83.33,7.02,"Yes","No Fit",7.0,8.99,57.61
"Cognizant","Indore",0,"Backend Developer","Rust, Python, React, Bootstrap, C++, Vue.js, PyTorch",0.63,6,7,85.71,7.92,"Yes","Fit",9.86,7.22,60.07
"Mindtree","Chennai",4,"MLOps Engineer","TensorFlow, FastAPI, C++, Java, Bootstrap",0.52,1,5,20.0,6.2,"Yes","Fit",7.71,5.76,76.97
"Cognizant","Bangalore",8,"Frontend Architect","Python, FastAPI, LLMs, Node.js, Rust, Seaborn, Scikit-Learn, Excel, Bootstrap",0.97,2,9,22.22,6.55,"No","Fit",9.77,9.48,81.81
"HCL Technologies","Indore",0,"Machine Learning Engineer","Transformers, React, Git, Python, Excel, MongoDB",0.7,5,6,83.33,8.69,"Yes","No Fit",8.88,6.0,59.48
"Accenture","Noida",7,"Frontend Architect","TypeScript, Scikit-Learn, Bootstrap, Git, Flask, Rust",0.66,2,6,33.33,8.27,"Yes","Fit",6.87,6.43,56.02
"Zoho Corp","Hyderabad",8,"Machine Learning Engineer","Rust, TensorFlow, Bootstrap, Excel, Flask, Python, PostgreSQL",0.55,4,7,57.14,8.6,"Yes","Fit",9.95,8.99,66.04
"Wipro","Mumbai",5,"Data Engineer","LLMs, FastAPI, React, Docker, Python, PyTorch, Node.js",0.74,4,7,57.14,8.48,"No","Fit",8.3,7.23,88.01
"IBM India","Indore",8,"AI Research Assistant","PyTorch, Seaborn, Java, Git, Excel, LLMs, Bootstrap, C++, Vue.js, TensorFlow, Scikit-Learn",0.86,1,11,9.09,9.17,"Yes","No Fit",5.44,7.76,73.17
"IBM India","Gurgaon",2,"MLOps Engineer","OpenCV, Vue.js, LLMs, Flask, Bootstrap, PyTorch",0.62,4,6,66.67,9.59,"Yes","Fit",5.62,9.14,57.71
"TCS","Noida",5,"Data Analyst","React, PostgreSQL, Java, Seaborn, Scikit-Learn, Git",0.89,3,6,50.0,8.34,"Yes","Fit",7.14,5.15,89.74
"IBM India","Mumbai",7,"AI/ML Intern","Vue.js, Tailwind CSS, Node.js, React, Rust, Flask, Seaborn, Transformers",0.46,7,8,87.5,8.93,"Yes","Fit",9.22,9.07,55.78
"Infosys","Bangalore",0,"ML Ops Specialist","C++, Flask, Bootstrap, React, MongoDB, Tailwind CSS, Vue.js, Rust",0.8,4,8,50.0,6.94,"Yes","No Fit",9.39,8.34,55.83
"Mindtree","Bangalore",7,"Data Analyst","Bootstrap, Seaborn, LLMs, C++, TensorFlow",0.42,4,5,80.0,9.61,"No","Fit",6.11,9.02,55.55
"HCL Technologies","Mumbai",8,"Computer Vision Engineer","Excel, Scikit-Learn, Rust, PyTorch, Python, TypeScript, Transformers, OpenCV, React, MongoDB, Vue.js",0.55,9,11,81.82,9.69,"Yes","Fit",9.07,6.66,73.84
"Tech Mahindra","Bangalore",0,"Backend Developer","Git, Rust, MongoDB, C++, Python, Excel",0.84,2,6,33.33,6.68,"Yes","Fit",7.96,6.09,55.53
"HCL Technologies","Pune",6,"Software Engineer","Excel, Node.js, Java, TensorFlow, Git, PyTorch",0.58,4,6,66.67,7.08,"Yes","Fit",5.56,9.08,76.36
"Capgemini","Hyderabad",2,"Data Analyst","LLMs, Power BI, Seaborn, TypeScript, Node.js",0.53,1,5,20.0,7.48,"Yes","Fit",8.61,6.32,97.17
"Zoho Corp","Mumbai",6,"Software Engineer","LLMs, MongoDB, Python, OpenCV, Flask, PostgreSQL, C++",0.61,5,7,71.43,6.98,"No","Fit",6.12,7.66,75.94
"Capgemini","Delhi",7,"Software Engineer","Transformers, PostgreSQL, LLMs, Tailwind CSS, Scikit-Learn, Power BI, PyTorch, C++, Git, Excel",0.86,10,10,100.0,6.82,"Yes","Fit",5.19,5.38,58.5
"IBM India","Bangalore",5,"Blockchain Architect","Power BI, Git, Flask, TensorFlow, TypeScript, Docker, Bootstrap, Node.js, MongoDB, React, OpenCV",0.55,5,11,45.45,9.95,"No","Fit",6.45,6.33,88.65
"Mindtree","Delhi",3,"Frontend Architect","LLMs, Bootstrap, Scikit-Learn, TypeScript, Java, Power BI, Excel",0.7,2,7,28.57,6.92,"Yes","No Fit",9.48,8.38,60.86
"L&T Infotech","Delhi",7,"DevOps Engineer","Docker, Seaborn, TypeScript, Vue.js, LLMs, OpenCV, Excel",0.9,5,7,71.43,8.58,"Yes","Fit",8.91,7.41,51.98
